   4.38902352E-05   98104088.0       42993416.0       1061235.75       6640835.00       6268103.00       452.635376    
   4.38902462E-05   97182632.0       41645512.0       1027869.62       6061650.00       6156486.00       439.043243    
   4.38902571E-05   96268464.0       40339572.0       995552.188       5534639.00       6046856.50       425.859222    
   4.38902680E-05   95361168.0       39074324.0       964250.438       5054815.00       5939178.00       413.071075    
   4.38902825E-05   94460352.0       37848520.0       933932.438       4617716.00       5833416.50       400.666840    
   4.38902935E-05   93565136.0       36660960.0       904567.375       4218981.00       5729537.50       388.635101    
   4.38903080E-05   92675760.0       35510468.0       876125.312       3855446.75       5627507.50       376.964569    
   4.38903189E-05   91791960.0       34395912.0       848577.250       3523874.00       5527294.00       365.644470    
   4.38903335E-05   90913464.0       33316182.0       821895.188       3221343.75       5428864.00       354.664276    
   4.38903480E-05   90040048.0       32270206.0       796051.812       2945222.75       5332186.50       344.013763    
   4.38903589E-05   89171512.0       31256946.0       771020.875       2693132.00       5237230.00       333.683044    
   4.38903808E-05   88663216.0       30275344.0       746776.750       2462914.25       5143953.50       323.661896    
   4.38903990E-05   88167336.0       29324472.0       723294.750       2253761.50       5052337.50       313.941620    
   4.38904208E-05   87683464.0       28403378.0       700551.062       2063588.62       4962352.00       304.513184    
   4.38904426E-05   87211208.0       27511138.0       678522.375       1890536.62       4873968.00       295.367859    
   4.38904644E-05   86750200.0       26646856.0       657186.250       1732945.12       4787157.00       286.497131    
   4.38904863E-05   86300096.0       25809668.0       636520.938       1589329.38       4701891.50       277.892731    
   4.38905081E-05   85860560.0       24998726.0       616505.375       1458359.38       4618143.50       269.546722    
   4.38905336E-05   85431280.0       24213218.0       597119.125       1338842.12       4535886.50       261.451294    
   4.38905590E-05   85011944.0       23452348.0       578342.375       1229706.50       4455093.00       253.598938    
   4.38905845E-05   84602272.0       22715350.0       560156.062       1129989.38       4375738.00       245.982361    
   4.38906100E-05   84201984.0       22001478.0       542541.500       1038824.00       4297795.50       238.594482    
   4.38906354E-05   83810816.0       21310012.0       525480.812       955429.062       4221240.00       231.428436    
   4.38906645E-05   83428512.0       20640252.0       508956.594       879100.062       4146047.25       224.477570    
   4.38906936E-05   83054832.0       19991518.0       492951.938       809200.938       4072193.00       217.735413    
   4.38907227E-05   82689536.0       19363154.0       477450.500       745156.688       3999653.50       211.195709    
   4.38907555E-05   82332400.0       18754522.0       462436.500       686447.500       3928405.00       204.852371    
   4.38907882E-05   81983208.0       18165006.0       447894.625       632602.688       3858424.75       198.699509    
   4.38908210E-05   81641744.0       17594006.0       433810.000       583195.688       3789690.25       192.731400    
   4.38908537E-05   81307816.0       17040944.0       420168.250       537839.938       3722179.25       186.942505    
   4.38908901E-05   80981216.0       16505255.0       406955.469       496184.656       3655870.00       181.327438    
   4.38909265E-05   80661760.0       15986397.0       394158.188       457911.219       3590741.00       175.880981    
   4.38909628E-05   80349264.0       15483841.0       381763.312       422730.156       3526771.50       170.598083    
   4.38910029E-05   80043560.0       14997077.0       369758.188       390378.250       3463940.50       165.473816    
   4.38910429E-05   79744464.0       14525609.0       358130.562       360616.062       3402228.25       160.503418    
   4.38910829E-05   79451816.0       14068958.0       346868.562       333225.562       3341614.25       155.682281    
   4.38911266E-05   79165456.0       13626657.0       335960.750       308008.062       3282079.50       151.005920    
   4.38911702E-05   78885232.0       13198258.0       325395.906       284782.562       3223604.25       146.469986    
   4.38912175E-05   78610992.0       12783323.0       315163.312       263383.906       3166170.25       142.070267    
   4.38912648E-05   78342576.0       12381431.0       305252.469       243661.391       3109758.50       137.802658    
   4.38913121E-05   78079864.0       11992170.0       295653.312       225477.422       3054351.25       133.663208    
   4.38913630E-05   77822704.0       11615146.0       286355.969       208706.312       2999930.00       129.648071    
   4.38914140E-05   77570968.0       11249972.0       277351.031       193233.141       2946477.75       125.753517    
   4.38914685E-05   77324528.0       10896278.0       268629.250       178952.875       2893977.25       121.975914    
   4.38915231E-05   77083248.0       10553703.0       260181.750       165769.359       2842411.00       118.311752    
   4.38915813E-05   76847016.0       10221896.0       251999.891       153594.594       2791763.00       114.757629    
   4.38916395E-05   76615712.0       9900521.00       244075.328       142348.016       2742016.75       111.310242    
   4.38917014E-05   76389224.0       9589249.00       236399.969       131955.766       2693156.00       107.966377    
   4.38917632E-05   76167424.0       9287762.00       228965.969       122350.203       2645165.25       104.722946    
   4.38918287E-05   75950224.0       8995754.00       221765.734       113469.234       2598028.75       101.576912    
   4.38918942E-05   75737496.0       8712926.00       214791.938       105255.945       2551731.50       98.5253601    
   4.38919633E-05   75529160.0       8438990.00       208037.438       97658.0781       2506258.50       95.5654526    
   4.38920360E-05   75325096.0       8173665.50       201495.344       90627.6484       2461595.00       92.6944427    
   4.38921088E-05   75125216.0       7916683.50       195158.984       84120.6016       2417726.75       89.9096527    
   4.38921852E-05   74929432.0       7667780.50       189021.891       78096.4453       2374639.50       87.2085037    
   4.38922652E-05   74737632.0       7426703.00       183077.781       72517.9453       2332319.50       84.5884781    
   4.38923453E-05   74549744.0       7193205.00       177320.594       67350.8906       2290753.00       82.0471344    
   4.38924326E-05   74365664.0       6967048.50       171744.453       62563.7812       2249926.50       79.5821228    
   4.38925199E-05   74185328.0       6748002.00       166343.672       58127.6484       2209827.00       77.1911392    
   4.38926072E-05   74008632.0       6535842.50       161112.734       54015.8203       2170441.25       74.8719711    
   4.38927018E-05   73835504.0       6330353.50       156046.281       50203.7344       2131757.00       72.6224518    
   4.38927964E-05   73665864.0       6131325.50       151139.172       46668.7656       2093761.50       70.4404984    
   4.38928946E-05   73499640.0       5938555.00       146386.359       43390.0625       2056442.50       68.3240814    
   4.38929965E-05   73336752.0       5751845.00       141783.016       40348.4141       2019788.00       66.2712326    
   4.38931056E-05   73177128.0       5571005.50       137324.438       37526.0898       1983786.25       64.2800369    
   4.38932148E-05   73020696.0       5395852.00       133006.062       34906.7539       1948425.50       62.3486519    
   4.38933275E-05   72867384.0       5226205.50       128823.484       32475.3184       1913694.38       60.4752769    
   4.38934439E-05   72717136.0       5061893.00       124772.445       30217.8711       1879581.62       58.6581688    
   4.38935640E-05   72569872.0       4902746.50       120848.797       28121.5605       1846076.50       56.8956413    
   4.38936877E-05   72425536.0       4748603.50       117048.539       26174.5234       1813167.88       55.1860542    
   4.38938150E-05   72284064.0       4599307.00       113367.789       24365.7988       1780845.38       53.5278206    
   4.38939496E-05   72145392.0       4454705.00       109802.781       22685.2617       1749098.38       51.9193916    
   4.38940842E-05   72009456.0       4314649.50       106349.891       21123.5527       1717916.75       50.3592758    
   4.38942261E-05   71876208.0       4178997.00       103005.578       19672.0176       1687290.38       48.8460236    
   4.38943753E-05   71745592.0       4047610.00       99766.4375       18322.6582       1657209.38       47.3782272    
   4.38945244E-05   71617544.0       3920354.00       96629.1641       17068.0762       1627664.25       45.9545212    
   4.38946809E-05   71492008.0       3797099.00       93590.5391       15901.4219       1598645.12       44.5735779    
   4.38948409E-05   71368944.0       3677719.25       90647.4766       14816.3633       1570142.88       43.2341194    
   4.38950083E-05   71248296.0       3562093.25       87796.9688       13807.0352       1542148.25       41.9348946    
   4.38951829E-05   71130000.0       3450102.50       85036.0938       12868.0088       1514652.12       40.6747017    
   4.38953612E-05   71014024.0       3341632.75       82362.0469       11994.2559       1487645.75       39.4523621    
   4.38955431E-05   70900320.0       3236573.75       79772.0859       11181.1211       1461120.38       38.2667427    
   4.38957359E-05   70788824.0       3134818.00       77263.5781       10424.2891       1435067.38       37.1167412    
   4.38959323E-05   70679512.0       3036261.50       74833.9531       9719.76172       1409478.50       36.0012817    
   4.38961360E-05   70572320.0       2940803.75       72480.7344       9063.83398       1384345.38       34.9193382    
   4.38963471E-05   70467224.0       2848347.25       70201.5156       8453.06934       1359659.88       33.8698921    
   4.38965617E-05   70364160.0       2758797.75       67993.9766       7884.28418       1335414.00       32.8519783    
   4.38967872E-05   70263104.0       2672064.00       65855.8594       7354.52246       1311600.12       31.8646412    
   4.38970201E-05   70164008.0       2588057.25       63784.9727       6861.04395       1288210.38       30.9069672    
   4.38972602E-05   70066832.0       2506691.75       61779.2148       6401.30664       1265237.25       29.9780636    
   4.38975076E-05   69971536.0       2427884.50       59836.5312       5972.94971       1242673.38       29.0770683    
   4.38977659E-05   69878088.0       2351555.00       57954.9414       5573.78369       1220511.38       28.2031403    
   4.38980278E-05   69786448.0       2277625.75       56132.5234       5201.77490       1198744.25       27.3554707    
   4.38983043E-05   69696576.0       2206020.75       54367.4141       4855.03564       1177364.88       26.5332661    
   4.38985880E-05   69608448.0       2136667.00       52657.8125       4531.81250       1156366.25       25.7357655    
   4.38988791E-05   69522016.0       2069494.00       51001.9727       4230.47705       1135741.88       24.9622269    
   4.38991847E-05   69437256.0       2004433.00       49398.2070       3949.51611       1115484.75       24.2119274    
   4.38994975E-05   69354128.0       1941417.62       47844.8711       3687.52417       1095588.62       23.4841728    
   4.38998213E-05   69272608.0       1880383.62       46340.3867       3443.19458       1076047.00       22.7782841    
   4.39001560E-05   69192656.0       1821268.62       44883.2148       3215.31299       1056853.50       22.0936031    
   4.39005053E-05   69114248.0       1764012.25       43471.8672       3002.75049       1038002.00       21.4294968    
   4.39008618E-05   69037352.0       1708556.12       42104.9023       2804.45801       1019486.38       20.7853432    
   4.39012329E-05   68961944.0       1654843.62       40780.9258       2619.45898       1001300.69       20.1605453    
   4.39016185E-05   68887984.0       1602820.00       39498.5820       2446.84619       983439.000       19.5545235    
   4.39020150E-05   68815448.0       1552432.12       38256.5664       2285.77466       965895.562       18.9667091    
   4.39024261E-05   68744320.0       1503628.38       37053.6094       2135.45923       948664.750       18.3965588    
   4.39028518E-05   68674552.0       1456359.25       35888.4844       1995.16882       931741.000       17.8435421    
   4.39032920E-05   68606136.0       1410576.38       34759.9961       1864.22327       915118.812       17.3071423    
   4.39037467E-05   68539048.0       1366232.88       33666.9961       1741.98950       898792.875       16.7868614    
   4.39042196E-05   68473248.0       1323283.75       32608.3711       1627.87805       882757.875       16.2822151    
   4.39047071E-05   68408720.0       1281685.00       31583.0352       1521.34045       867008.688       15.7927351    
   4.39052128E-05   68345440.0       1241394.12       30589.9434       1421.86572       851540.188       15.3179646    
