 NS  KS  AS  CS  KI  AI  CI 
 0.3596E-00009  0.1185E-00007  0.1259E-00006  0.4204E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1188E-00007  0.1262E-00006  0.4209E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1190E-00007  0.1266E-00006  0.4215E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1193E-00007  0.1270E-00006  0.4220E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1196E-00007  0.1274E-00006  0.4226E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1199E-00007  0.1277E-00006  0.4231E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1202E-00007  0.1281E-00006  0.4237E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1204E-00007  0.1285E-00006  0.4242E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1207E-00007  0.1289E-00006  0.4248E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1210E-00007  0.1293E-00006  0.4253E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1213E-00007  0.1296E-00006  0.4259E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1216E-00007  0.1300E-00006  0.4264E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1219E-00007  0.1304E-00006  0.4269E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1221E-00007  0.1308E-00006  0.4275E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1224E-00007  0.1312E-00006  0.4280E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1227E-00007  0.1315E-00006  0.4285E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1230E-00007  0.1319E-00006  0.4290E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1233E-00007  0.1323E-00006  0.4296E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1236E-00007  0.1327E-00006  0.4301E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1239E-00007  0.1331E-00006  0.4306E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1242E-00007  0.1334E-00006  0.4311E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1245E-00007  0.1338E-00006  0.4316E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1248E-00007  0.1342E-00006  0.4321E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1251E-00007  0.1346E-00006  0.4326E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1254E-00007  0.1350E-00006  0.4331E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1257E-00007  0.1354E-00006  0.4336E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1260E-00007  0.1357E-00006  0.4341E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1263E-00007  0.1361E-00006  0.4346E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1266E-00007  0.1365E-00006  0.4351E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1269E-00007  0.1369E-00006  0.4355E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1272E-00007  0.1373E-00006  0.4360E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1275E-00007  0.1377E-00006  0.4365E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1278E-00007  0.1381E-00006  0.4370E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1282E-00007  0.1384E-00006  0.4374E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1285E-00007  0.1388E-00006  0.4379E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1288E-00007  0.1392E-00006  0.4384E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1291E-00007  0.1396E-00006  0.4388E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1294E-00007  0.1400E-00006  0.4393E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1297E-00007  0.1404E-00006  0.4397E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1301E-00007  0.1408E-00006  0.4402E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1304E-00007  0.1412E-00006  0.4406E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1307E-00007  0.1416E-00006  0.4411E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1310E-00007  0.1419E-00006  0.4415E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1314E-00007  0.1423E-00006  0.4419E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1317E-00007  0.1427E-00006  0.4423E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1320E-00007  0.1431E-00006  0.4428E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1323E-00007  0.1435E-00006  0.4432E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1327E-00007  0.1439E-00006  0.4436E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1330E-00007  0.1443E-00006  0.4440E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1334E-00007  0.1447E-00006  0.4444E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1337E-00007  0.1451E-00006  0.4448E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1340E-00007  0.1455E-00006  0.4452E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1344E-00007  0.1459E-00006  0.4456E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1347E-00007  0.1463E-00006  0.4460E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1351E-00007  0.1467E-00006  0.4464E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1354E-00007  0.1470E-00006  0.4468E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1357E-00007  0.1474E-00006  0.4472E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1361E-00007  0.1478E-00006  0.4475E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1364E-00007  0.1482E-00006  0.4479E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1368E-00007  0.1486E-00006  0.4483E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1372E-00007  0.1490E-00006  0.4486E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1375E-00007  0.1494E-00006  0.4490E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1379E-00007  0.1498E-00006  0.4493E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1382E-00007  0.1502E-00006  0.4497E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1386E-00007  0.1506E-00006  0.4500E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1389E-00007  0.1510E-00006  0.4504E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1393E-00007  0.1514E-00006  0.4507E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1397E-00007  0.1518E-00006  0.4510E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1400E-00007  0.1522E-00006  0.4514E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1404E-00007  0.1526E-00006  0.4517E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1408E-00007  0.1530E-00006  0.4520E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1411E-00007  0.1534E-00006  0.4523E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1415E-00007  0.1538E-00006  0.4526E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1419E-00007  0.1542E-00006  0.4530E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1423E-00007  0.1546E-00006  0.4533E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
