 NS  KS  AS  CS  KI  AI  CI 
 0.3764E-00006  0.9067E+00005  0.7486E+00005  0.6828E+00004  0.5090E+00005  0.3657E+00004  0.1020E+00000
 0.3498E-00006  0.8465E+00005  0.6993E+00005  0.6448E+00004  0.4798E+00005  0.3384E+00004  0.9317E-00001
 0.3251E-00006  0.7903E+00005  0.6533E+00005  0.6090E+00004  0.4523E+00005  0.3131E+00004  0.8514E-00001
 0.3022E-00006  0.7378E+00005  0.6103E+00005  0.5751E+00004  0.4263E+00005  0.2897E+00004  0.7780E-00001
 0.2809E-00006  0.6888E+00005  0.5702E+00005  0.5432E+00004  0.4019E+00005  0.2681E+00004  0.7109E-00001
 0.2610E-00006  0.6431E+00005  0.5327E+00005  0.5130E+00004  0.3788E+00005  0.2481E+00004  0.6497E-00001
 0.2426E-00006  0.6004E+00005  0.4977E+00005  0.4845E+00004  0.3571E+00005  0.2295E+00004  0.5937E-00001
 0.2255E-00006  0.5605E+00005  0.4650E+00005  0.4575E+00004  0.3366E+00005  0.2124E+00004  0.5425E-00001
 0.2096E-00006  0.5234E+00005  0.4345E+00005  0.4321E+00004  0.3173E+00005  0.1965E+00004  0.4957E-00001
 0.1948E-00006  0.4886E+00005  0.4060E+00005  0.4081E+00004  0.2991E+00005  0.1819E+00004  0.4530E-00001
 0.1811E-00006  0.4563E+00005  0.3794E+00005  0.3854E+00004  0.2819E+00005  0.1683E+00004  0.4140E-00001
 0.1683E-00006  0.4260E+00005  0.3545E+00005  0.3640E+00004  0.2657E+00005  0.1557E+00004  0.3783E-00001
 0.1564E-00006  0.3978E+00005  0.3313E+00005  0.3438E+00004  0.2505E+00005  0.1441E+00004  0.3457E-00001
 0.1454E-00006  0.3714E+00005  0.3096E+00005  0.3247E+00004  0.2361E+00005  0.1333E+00004  0.3159E-00001
 0.1351E-00006  0.3468E+00005  0.2894E+00005  0.3067E+00004  0.2226E+00005  0.1234E+00004  0.2887E-00001
 0.1256E-00006  0.3239E+00005  0.2705E+00005  0.2897E+00004  0.2098E+00005  0.1142E+00004  0.2638E-00001
 0.1167E-00006  0.3024E+00005  0.2528E+00005  0.2736E+00004  0.1978E+00005  0.1056E+00004  0.2411E-00001
 0.1085E-00006  0.2824E+00005  0.2363E+00005  0.2584E+00004  0.1864E+00005  0.9774E+00003  0.2203E-00001
 0.1008E-00006  0.2637E+00005  0.2209E+00005  0.2440E+00004  0.1757E+00005  0.9045E+00003  0.2013E-00001
 0.9370E-00007  0.2463E+00005  0.2064E+00005  0.2305E+00004  0.1656E+00005  0.8369E+00003  0.1839E-00001
 0.8709E-00007  0.2300E+00005  0.1930E+00005  0.2177E+00004  0.1561E+00005  0.7744E+00003  0.1681E-00001
 0.8094E-00007  0.2148E+00005  0.1804E+00005  0.2056E+00004  0.1472E+00005  0.7166E+00003  0.1536E-00001
 0.7523E-00007  0.2006E+00005  0.1687E+00005  0.1942E+00004  0.1387E+00005  0.6631E+00003  0.1404E-00001
 0.6992E-00007  0.1873E+00005  0.1577E+00005  0.1834E+00004  0.1308E+00005  0.6136E+00003  0.1283E-00001
 0.6499E-00007  0.1750E+00005  0.1474E+00005  0.1733E+00004  0.1233E+00005  0.5678E+00003  0.1172E-00001
 0.6040E-00007  0.1634E+00005  0.1378E+00005  0.1636E+00004  0.1162E+00005  0.5254E+00003  0.1071E-00001
 0.5614E-00007  0.1526E+00005  0.1289E+00005  0.1546E+00004  0.1096E+00005  0.4861E+00003  0.9788E-00002
 0.5218E-00007  0.1426E+00005  0.1205E+00005  0.1460E+00004  0.1033E+00005  0.4498E+00003  0.8944E-00002
 0.4849E-00007  0.1331E+00005  0.1127E+00005  0.1379E+00004  0.9734E+00004  0.4162E+00003  0.8173E-00002
 0.4507E-00007  0.1244E+00005  0.1054E+00005  0.1302E+00004  0.9176E+00004  0.3852E+00003  0.7469E-00002
 0.4189E-00007  0.1162E+00005  0.9852E+00004  0.1230E+00004  0.8650E+00004  0.3564E+00003  0.6825E-00002
 0.3894E-00007  0.1085E+00005  0.9214E+00004  0.1162E+00004  0.8154E+00004  0.3298E+00003  0.6237E-00002
 0.3619E-00007  0.1014E+00005  0.8616E+00004  0.1098E+00004  0.7686E+00004  0.3052E+00003  0.5699E-00002
 0.3363E-00007  0.9467E+00004  0.8320E+00004  0.1037E+00004  0.7245E+00004  0.2824E+00003  0.5208E-00002
 0.3126E-00007  0.8844E+00004  0.8034E+00004  0.9792E+00003  0.6830E+00004  0.2613E+00003  0.4759E-00002
 0.2905E-00007  0.8261E+00004  0.7758E+00004  0.9249E+00003  0.6438E+00004  0.2418E+00003  0.4349E-00002
 0.2700E-00007  0.7717E+00004  0.7492E+00004  0.8736E+00003  0.6069E+00004  0.2237E+00003  0.3974E-00002
